id;tag;tag_display;jhi_group;group_display;color;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;phone new;oddly drat shoelace;intervene boo though;knavishly messenger about;yellow;ionize;2023-12-27T00:51:14;2023-12-27T12:53:02;publication;as
2;inside;meanwhile brief unfortunate;around;bog dangerous loudly;purple;interview or pig;2023-12-27T02:13:24;2023-12-27T08:10:03;hastily;truly likely
3;huzzah ugh;under until;quarrelsomely;yuck verbally angle;silver;ugh;2023-12-26T17:44:37;2023-12-26T16:55:41;important;truly toboggan informal
4;phooey fighter energetically;er politely floozie;mallet remorseful;omit parched;grey;and;2023-12-27T03:00:12;2023-12-27T00:07:45;veneer each;talkative
5;wherever politely;with unfortunately certainly;for;loosely saunter glory;white;oh retouching;2023-12-26T20:56:50;2023-12-27T12:02:02;of so unless;weakly phew disengage
6;hm huzzah save;dulcimer incidentally;exfoliate;duh aha;yellow;meanwhile;2023-12-26T21:57:53;2023-12-26T22:39:58;aw tangle;aardvark caterpillar
7;dumbwaiter;unless pfft;even hence edible;lest;magenta;er tour;2023-12-26T18:50:44;2023-12-26T23:00:37;selfishly soon;whoa alarming
8;instead lemur whenever;mundane;circa;cable affirm;fuchsia;dining;2023-12-27T05:37:03;2023-12-27T08:50:55;since now;thankful consequently knot
9;sentence;oof far however;though eek;next senior;magenta;beside;2023-12-27T12:15:41;2023-12-27T00:57:12;flippant important afterwards;and
10;toward;gently;barring likewise majestic;snip;black;reset furthermore;2023-12-27T14:19:41;2023-12-27T13:38:32;numb astride ruddy;neglect
