id;system_name;display_order;name;jhi_value;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;yet core;23884;yam;down;yowza;2023-12-27T08:37:42;2023-12-27T14:20:02;scholarly;hideous despise joyfully
2;reign inasmuch;12815;adventurously hm deaden;because angelic now;er;2023-12-26T23:16:25;2023-12-26T23:33:22;why onto seriously;worth
3;circa;7984;where;parking before;arctic bedazzle which;2023-12-26T15:12:14;2023-12-27T03:19:52;why;patter squander
4;roughly;5753;unhappy distance um;above barbecue dramatic;upbeat clip;2023-12-27T08:32:34;2023-12-26T15:06:36;by near;trade concrete cool
5;cheque because prioritize;7740;qua both;participate immediately;astride gasp;2023-12-27T09:52:48;2023-12-26T14:44:47;sniveling;bruised soul soulful
6;jaded;26071;witness;grasp;yum voluminous schooner;2023-12-27T02:35:20;2023-12-26T23:22:05;appreciate;epoch
7;launch yowza;4247;splendid;neatly;woefully snarling doctor;2023-12-26T20:05:40;2023-12-27T05:59:56;versus what;when beatify beneath
8;below ah drat;23593;go mmm well;yet toward;helpfully;2023-12-26T23:01:29;2023-12-27T10:24:34;afford;under aw
9;because;26283;duh uh-huh;supposing;excepting;2023-12-26T22:39:49;2023-12-26T21:55:37;opposite firsthand;energetic
10;what dreamily inwardly;11514;mammoth;once foil where;toward wasteful;2023-12-26T22:26:33;2023-12-27T08:43:48;replenish;phooey
