id;system_name;display_order;name;jhi_value;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;huzzah text;4783;poised;dangerous pace explorer;torn midden;2023-12-26T19:43:48;2023-12-27T05:46:06;yuck while because;following
2;righteously ew prizefight;11651;for woot hiring;surgery;nose;2023-12-27T10:37:41;2023-12-26T16:49:21;yippee upliftingly toward;semicircle
3;astride;23822;bank frame;spark unless cruelly;while ew whenever;2023-12-27T03:58:58;2023-12-27T03:32:11;enumerate;hallucinate gee valiantly
4;provided;20444;unless;zowie cupola righteously;boo;2023-12-26T22:03:04;2023-12-26T21:10:46;tentacle definite like;hm optimization understated
5;blindly revenant;11871;tomorrow assay;under;shakily;2023-12-26T22:13:35;2023-12-27T09:46:48;overstock cleave before;delirious
6;oh youthfully only;6076;into;retouching;unless;2023-12-27T09:54:47;2023-12-27T11:55:20;outside;sorghum avenue awkwardly
7;vivaciously fondly;29799;now;by soap;bah;2023-12-26T20:40:41;2023-12-26T15:33:37;about;outside
8;venom fortunate;11505;often alongside rarely;glamorous;painfully reasonable;2023-12-27T10:14:23;2023-12-27T13:32:30;boohoo cilantro;dissect
9;aha brood;29982;dahlia oh oh;pungent for considering;next check;2023-12-27T13:09:50;2023-12-27T04:46:56;rural until sans;whinge beside
10;teriyaki watery;4426;monstrous sympathetically innocently;worrisome boohoo;unhitch yearningly;2023-12-26T14:31:59;2023-12-26T20:45:09;fortunate;beautifully
